title,release_year,certificate,run_time,rating
160. Gone with the Wind,1939,Passed,3h 58m,8.2
161. Raging Bull,1980,R,2h 9m,8.1
162. Dial M for Murder,1954,PG,1h 45m,8.2
163. Howl's Moving Castle,2004,PG,1h 59m,8.2
"164. Lock, Stock and Two Smoking Barrels",1998,R,1h 47m,8.1
165. The Secret in Their Eyes,2009,R,2h 9m,8.2
166. Inside Out,2015,PG,1h 35m,8.1
167. Prisoners,2013,R,2h 33m,8.1
"168. Three Billboards Outside Ebbing, Missouri",2017,R,1h 55m,8.1
169. The Bridge on the River Kwai,1957,PG,2h 41m,8.1
170. Trainspotting,1996,R,1h 33m,8.1
171. Fargo,1996,R,1h 38m,8.1
172. Warrior,2011,PG-13,2h 20m,8.1
173. Gran Torino,2008,R,1h 56m,8.1
174. Catch Me If You Can,2002,PG-13,2h 21m,8.1
175. My Neighbor Totoro,1988,G,1h 26m,8.1
176. Million Dollar Baby,2004,PG-13,2h 12m,8.1
177. Klaus,2019,PG,1h 36m,8.2
178. Children of Heaven,1997,PG,1h 29m,8.2
179. Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10m,8.1
180. Blade Runner,1982,R,1h 57m,8.1
181. 12 Years a Slave,2013,R,2h 14m,8.1
182. Before Sunrise,1995,R,1h 41m,8.1
183. The Gold Rush,1925,Passed,1h 35m,8.1
184. The Grand Budapest Hotel,2014,R,1h 39m,8.1
185. Ben-Hur,1959,G,3h 32m,8.1
186. Gone Girl,2014,R,2h 29m,8.1
187. On the Waterfront,1954,Approved,1h 48m,8.1
188. Barry Lyndon,1975,PG,3h 5m,8.1
189. Hacksaw Ridge,2016,R,2h 19m,8.1
190. In the Name of the Father,1993,R,2h 13m,8.1
191. The General,1926,Passed,1h 18m,8.1
192. The Deer Hunter,1978,R,3h 3m,8.1
193. Wild Strawberries,1957,Not Rated,1h 31m,8.1
194. Memories of Murder,2003,Not Rated,2h 12m,8.1
195. The Third Man,1949,Approved,1h 33m,8.1
196. The Wages of Fear,1953,Not Rated,2h 11m,8.2
197. Wild Tales,2014,R,2h 2m,8.1
198. Sherlock Jr.,1924,Passed,45m,8.2
199. Mad Max: Fury Road,2015,R,2h,8.1
200. Mr. Smith Goes to Washington,1939,Passed,2h 9m,8.1
201. Dead Poets Society,1989,PG,2h 8m,8.1
"202. Monsters, Inc.",2001,G,1h 32m,8.1
203. How to Train Your Dragon,2010,PG,1h 38m,8.1
204. Mary and Max,2009,Not Rated,1h 32m,8.1
205. Jaws,1975,PG,2h 4m,8.1
206. The Seventh Seal,1957,Not Rated,1h 36m,8.1
207. Room,2015,R,1h 58m,8.1
208. The Big Lebowski,1998,R,1h 57m,8.1
209. Tokyo Story,1953,Not Rated,2h 16m,8.1
210. Ford v Ferrari,2019,PG-13,2h 32m,8.1
211. Ratatouille,2007,G,1h 51m,8.1
212. Hotel Rwanda,2004,PG-13,2h 1m,8.1
213. The Passion of Joan of Arc,1928,Passed,1h 54m,8.2
214. Rocky,1976,PG,2h,8.1
215. Logan,2017,R,2h 17m,8.1
216. Platoon,1986,R,2h,8.1
217. Spotlight,2015,R,2h 9m,8.1
218. The Terminator,1984,R,1h 47m,8.1
219. Jai Bhim,2021,TV-MA,2h 44m,8.8
220. Before Sunset,2004,R,1h 20m,8.1
221. Rush,2013,R,2h 3m,8.1
222. Network,1976,R,2h 1m,8.1
223. Stand by Me,1986,R,1h 29m,8.1
224. The Best Years of Our Lives,1946,Approved,2h 50m,8.1
225. The Wizard of Oz,1939,G,1h 42m,8.1
226. Into the Wild,2007,R,2h 28m,8.1
227. La haine,1995,Not Rated,1h 38m,8.1
228. The Exorcist,1973,R,2h 2m,8.1
229. The Incredibles,2004,PG,1h 55m,8.0
230. Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23m,8.1
231. To Be or Not to Be,1942,Passed,1h 39m,8.2
232. Groundhog Day,1993,PG,1h 41m,8.0
233. My Father and My Son,2005,Not Rated,1h 52m,8.2
234. The Grapes of Wrath,1940,Passed,2h 9m,8.1
235. Hachi: A Dog's Tale,2009,G,1h 33m,8.1
236. The Battle of Algiers,1966,Not Rated,2h 1m,8.1
237. The Handmaiden,2016,Not Rated,2h 25m,8.1
238. Amores Perros,2000,R,2h 34m,8.1
239. Rebecca,1940,Approved,2h 10m,8.1
240. Cool Hand Luke,1967,GP,2h 7m,8.1
241. Pather Panchali,1955,Not Rated,2h 5m,8.2
242. The Sound of Music,1965,G,2h 52m,8.1
243. It Happened One Night,1934,Passed,1h 45m,8.1
244. The Iron Giant,1999,PG,1h 26m,8.1
245. The 400 Blows,1959,Not Rated,1h 39m,8.1
246. The Help,2011,PG-13,2h 26m,8.1
247. Persona,1966,Not Rated,1h 23m,8.1
248. Life of Brian,1979,R,1h 34m,8.0
249. Aladdin,1992,G,1h 30m,8.0
250. Gangs of Wasseypur,2012,Not Rated,5h 21m,8.2
