title,release_year,certificate,run_time,genre,rating,gross (USD),votes,director,description
Toy Story 2,1999,G,92 min,"Animation, Adventure, Comedy",7.9,$245.85M,"585,183",John Lasseter,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
The Godfather,1972,R,175 min,"Crime, Drama",9.2,$134.97M,"1,863,070",Francis Ford Coppola,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
The Birdcage,1996,R,117 min,Comedy,7.2,$124.06M,"91,653",Mike Nichols,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
Big Fish,2003,PG-13,125 min,"Adventure, Drama, Fantasy",8,$66.26M,"443,889",Tim Burton,A frustrated son tries to determine the fact from fiction in his dying father's life.
"Monsters, Inc.",2001,G,92 min,"Animation, Adventure, Comedy",8.1,$289.92M,"913,129",Pete Docter,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
Heavyweights,1995,PG,100 min,"Comedy, Drama, Family",6.6,$17.69M,"28,666",Steven Brill,"Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that it is a woodland hellhole run by a psycho ex-fitness instructor."
300,2006,R,117 min,"Action, Drama",7.6,$210.61M,"824,836",Zack Snyder,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
Dumb and Dumber,1994,PG-13,107 min,Comedy,7.3,$127.18M,"389,518",Peter Farrelly,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it."
American History X,1998,R,119 min,"Crime, Drama",8.5,$6.72M,"1,126,167",Tony Kaye,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
L.A. Confidential,1997,R,138 min,"Crime, Drama, Mystery",8.2,$64.62M,"585,938",Curtis Hanson,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Donnie Brasco,1997,R,127 min,"Biography, Crime, Drama",7.7,$41.91M,"311,893",Mike Newell,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
Step Brothers,2008,R,98 min,Comedy,6.9,$100.47M,"299,410",Adam McKay,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.
Ratatouille,2007,G,111 min,"Animation, Adventure, Comedy",8.1,$206.45M,"742,428",Brad Bird,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
Watchmen,2009,R,162 min,"Action, Drama, Mystery",7.6,$107.51M,"555,482",Zack Snyder,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
Running Scared,2006,R,122 min,"Action, Crime, Drama",7.3,$6.86M,"100,845",Wayne Kramer,"A low-ranking thug is entrusted by his crime boss to dispose of a gun that killed corrupt cops, but things get out of control when the gun ends up in wrong hands."
Master and Commander: The Far Side of the World,2003,PG-13,138 min,"Action, Adventure, Drama",7.4,$93.93M,"224,380",Peter Weir,"During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America."
One Flew Over the Cuckoo's Nest,1975,R,133 min,Drama,8.7,$112.00M,"1,010,907",Milos Forman,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
A Few Good Men,1992,R,138 min,"Drama, Thriller",7.7,$141.34M,"267,681",Rob Reiner,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
Collateral,2004,R,120 min,"Action, Crime, Drama",7.5,$101.01M,"408,999",Michael Mann,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.
Being John Malkovich,1999,R,113 min,"Comedy, Drama, Fantasy",7.8,$22.86M,"338,754",Spike Jonze,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
The Big Lebowski,1998,R,117 min,"Comedy, Crime",8.1,$17.50M,"812,834",Joel Coen,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife."
The Prestige,2006,PG-13,130 min,"Drama, Mystery, Sci-Fi",8.5,$53.09M,"1,337,666",Christopher Nolan,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
True Grit,2010,PG-13,110 min,"Drama, Western",7.6,$171.24M,"342,298",Ethan Coen,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
GoodFellas,1990,R,145 min,"Biography, Crime, Drama",8.7,$46.84M,"1,165,532",Martin Scorsese,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
Good Will Hunting,1997,R,126 min,"Drama, Romance",8.3,$138.43M,"976,463",Gus Van Sant,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
The Sixth Sense,1999,PG-13,107 min,"Drama, Mystery, Thriller",8.2,$293.51M,"995,607",M. Night Shyamalan,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
Red Dragon,2002,R,124 min,"Crime, Drama, Thriller",7.2,$93.15M,"276,662",Brett Ratner,"A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter."
Braveheart,1995,R,178 min,"Biography, Drama, History",8.4,$75.60M,"1,041,129",Mel Gibson,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
The Town,2010,R,125 min,"Crime, Drama, Thriller",7.5,$92.19M,"394,553",Ben Affleck,"A proficient group of thieves rob a bank and hold Claire, the assistant manager, hostage. Things begin to get complicated when one of the crew members falls in love with Claire."
The Shining,1980,R,146 min,"Drama, Horror",8.4,$44.02M,"1,026,749",Stanley Kubrick,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
The Illusionist,2006,PG-13,110 min,"Drama, Fantasy, Mystery",7.6,$39.87M,"375,555",Neil Burger,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
Borat,2006,R,84 min,Comedy,7.3,$128.51M,"414,188",Larry Charles,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson."
Aladdin,1992,G,90 min,"Animation, Adventure, Comedy",8,$217.35M,"424,309",Ron Clements,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
Half Baked,1998,R,82 min,"Comedy, Crime",6.6,$17.28M,"64,815",Tamra Davis,The story of three not so bright men who come up with a series of crazy schemes to get a friend out of jail.
Pan's Labyrinth,2006,R,118 min,"Drama, Fantasy, War",8.2,$37.63M,"672,564",Guillermo del Toro,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
Death to Smoochy,2002,R,109 min,"Comedy, Crime, Drama",6.3,$8.36M,"41,013",Danny DeVito,"A kids' show host, Rainbow Randolph, is fired in disgrace while his replacement, Sheldon Mopes, A.K.A. Smoochy the Rhino, finds himself a rising star. Unfortunately for Sheldon, the business of kids' television isn't all child's play."
Casino,1995,R,178 min,"Crime, Drama",8.2,$42.44M,"523,987",Martin Scorsese,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
